Area,Year,Month,Time,Crime Type,Latitude,Longitude,Cluster
A K colony,2019.0,3.0,,CHEATING,13.0068,77.6124,-1
A K colony,2017.0,7.0,,KIDNAPPING AND ABDUCTION,13.0087,77.6119,-1
A.V ROAD TO DODDAPET CIRCLE,2021.0,7.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9651,77.5767,-1
A.V ROAD TO DODDAPET CIRCLE,2017.0,9.0,,THEFT,12.9659,77.5779,-1
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2023.0,10.0,,THEFT,13.0708,77.5297,-1
ADUGODI POLICE QUTRESS,2023.0,12.0,,MOLESTATION,12.9409,77.6092,-1
ADUGODI POLICE QUTRESS,2016.0,5.0,,THEFT,12.9362,77.6087,-1
ADUGODI POLICE QUTRESS,2018.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9369,77.6039,-1
AECS LAYOUT B BLOCK,2022.0,2.0,,MISSING PERSON,12.875,77.6264,-1
AGAR,2023.0,6.0,,PUBLIC SAFETY,12.9232,77.6464,-1
AGAR,2023.0,7.0,,PUBLIC SAFETY,12.9164,77.6284,-1
AGAR,2023.0,10.0,,PUBLIC SAFETY,12.9244,77.6499,-1
AGRAHARA VILLAGE,2020.0,6.0,,THEFT,13.0885,77.6339,-1
AGRAHARA VILLAGE,2020.0,1.0,,KIDNAPPING AND ABDUCTION,13.1007,77.6297,-1
AGRAHARA VILLAGE,2022.0,6.0,,THEFT,13.1007,77.619,-1
AIR FORCE EAST ROAD,2021.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0553,77.5428,-1
AKSHAYANAGARA,2020.0,9.0,,THEFT,13.0104,77.7028,-1
AMBALI PURA,2023.0,5.0,,ANIMAL,12.9215,77.6621,-1
AMBALI PURA,2023.0,7.0,,THEFT,12.9204,77.6657,-1
AMBALI PURA,2020.0,10.0,,MISSING PERSON,12.9304,77.6784,-1
AMBALI PURA,2023.0,12.0,,CYBER CRIME,12.9274,77.6723,-1
AMBEDKAR NAGARA,2017.0,5.0,,THEFT,12.9969,77.6738,-1
AMBEDKAR NAGARA GUTTE,2022.0,11.0,,CRIMINAL TRESPASS,12.9714,77.7501,-1
AMBEDKAR NAGARA GUTTE,2024.0,1.0,,THEFT,12.9595,77.7705,-1
AMBEDKAR NAGARA GUTTE,2022.0,7.0,,CRIMES RELATED TO WOMEN,12.9712,77.7679,-1
