Area,Year,Month,Time,Crime Type,Latitude,Longitude
A K colony,2019,3,,CHEATING,13.0068,77.6124
A K colony,2017,7,,KIDNAPPING AND ABDUCTION,13.0087,77.6119
A.V ROAD TO DODDAPET CIRCLE,2021,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9651,77.5767
A.V ROAD TO DODDAPET CIRCLE,2017,9,,THEFT,12.9659,77.5779
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2023,6,,CRUELTY BY HUSBAND,13.0713,77.5302
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2019,2,,THEFT,77.524,13.0776
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2017,9,,THEFT,77.5243,13.0706
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2017,12,,ATTEMPT TO MURDER,77.5407,13.0721
ADUGODI POLICE QUTRESS,2016,4,,CHEATING,12.9414,77.6115
ADUGODI POLICE QUTRESS,2016,9,,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),12.9404,77.6085
ADUGODI POLICE QUTRESS,2018,4,,CrPC,12.9386,77.609
AECS LAYOUT B BLOCK,2023,11,,THEFT,12.5302,77.383
AGALAKUPPE,2020,8,,Karnataka State Local Act,13.2245,77.24
AGALAKUPPE,2024,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1782,77.211
AGAR,2022,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9065,77.6978
AGAR,2022,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9035,77.704
AGAR,2023,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9197,77.6432
AGRAHARA VILLAGE,2020,11,,ROBBERY,13.0892,77.6329
AGRAHARA VILLAGE,2021,3,,MISSING PERSON,13.0987,77.6299
AGRAHARA VILLAGE,2019,2,,CHEATING,13.0775,77.6319
AIR FORCE EAST ROAD,2017,10,,NEGLIGENT ACT,13.0549,77.5347
AIR FORCE EAST ROAD,2018,2,,MOTOR VEHICLE ACCIDENTS FATAL,13.0658,77.5422
AJAGONDANAHALLI,2023,7,,CYBER CRIME,12.9578,77.7734
AKSHAYANAGARA,2019,12,,THEFT,12.8248,77.6579
ALLUR DUDDANAHALLI,2021,12,,MISSING PERSON,13.2551,77.6198
AMBALI PURA,2023,11,,CYBER CRIME,12.9258,77.6705
AMBALI PURA,2023,6,,THEFT,12.926,77.6761
AMBALI PURA,2021,8,,KIDNAPPING AND ABDUCTION,12.9304,77.6784
AMBALI PURA,2023,1,,CHEATING,12.9277,77.6691
AMBEDKAR NAGARA,2016,2,,THEFT,13.0145,77.6797
AMBEDKAR NAGARA GUTTE,2023,11,,THEFT,12.9769,77.7513
AMBEDKAR NAGARA GUTTE,2023,10,,THEFT,12.972,77.7478
AMBEDKAR NAGARA GUTTE,2024,2,,MISSING PERSON,12.9437,77.5175
AMRUTHA COLLAGE ROAD,2023,3,,PUBLIC SAFETY,12.9223,77.6592
AMRUTHAHALLI,2024,2,,CYBER CRIME,13.0572,77.5984
AMS LAYOUT,2017,2,,CRUELTY BY HUSBAND,13.0832,77.5598
AMS LAYOUT,2017,3,,CRIMINAL INTIMIDATION,13.0827,77.5592
ANATHAPURA GATE,2023,12,,Karnataka State Local Act,13.1032,77.5828
ANCHE PET,2017,7,,MURDER,12.9688,77.5791
ANDREE ROAD,2022,9,,MOLESTATION,12.9656,77.5944
ANEPALYA FIRST CROSS TO EIGHT CROSS,2023,10,,MISSING PERSON,12.951,77.6094
ANJANDRI LAYOUT,2020,5,,CHEATING,13.0415,77.6206
ANJANDRI LAYOUT,2019,9,,KIDNAPPING AND ABDUCTION,13.0411,77.6238
ANJANDRI LAYOUT,2019,12,,ROBBERY,13.0414,77.6215
ANJANEYA BLOCK,2024,1,,CASES OF HURT,12.9945,77.5748
ANJENEYA SLUM,2022,1,,THEFT,12.9462,77.5981
ANNAPOORNESHWARI NAGAR,2018,3,,BURGLARY - DAY,12.9805,77.5039
ANNAPOORNESHWARI NAGAR,2018,6,,MISSING PERSON,12.9595,77.5097
ANNAPORNA HOTEL JUNCTION,2017,7,,NEGLIGENT ACT,12.5733,77.3437
ANNAPORNA HOTEL JUNCTION,2020,12,,PUBLIC SAFETY,12.9585,77.5808
ANNAPURNESHWARI NAGARA,2022,12,,CRIMES RELATED TO WOMEN,12.9452,77.4939
ANNASANDRA PALYA,2023,12,,THEFT,12.9629,77.6826
ANNASANDRA PALYA,2023,9,,CYBER CRIME,12.957,77.6996
ANNASANDRA PALYA,2023,8,,ARMS ACT  1959,12.9656,77.6711
ARALU MALLIGE,2021,5,,Karnataka State Local Act,13.3121,77.6039
AREHALLI GUDDADAHALLI,2022,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2607,77.5545
ARISHINAKUNTE,2019,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0917,77.4078
ARISHINAKUNTE,2023,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0875,77.4074
ARISHINAKUNTE,2021,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0873,77.4071
ARISHINAKUNTE,2022,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0975,77.3858
ARISHINAKUNTE,2020,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1111,77.3782
ARISHINAKUNTE,2023,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0785,77.4273
ASHRAMA COLONY,2019,7,,MISSING PERSON,13.0324,77.5753
ASHRAMA COLONY,2019,10,,MURDER,13.0307,77.5774
ASHRAMA COLONY,2022,5,,KARNATAKA POLICE ACT 1963,13.0288,77.5715
ASHRAMA COLONY,2022,6,,MISSING PERSON,13.033,77.5788
ASHRAMA COLONY,2022,2,,MISSING PERSON,13.0396,77.5726
ASHRAMA COLONY,2019,10,,THEFT,13.0409,77.5653
ATHIBELE,2023,4,,Karnataka State Local Act,13.1571,77.7916
ATHMAJYOTHI NAGAR,2016,9,,RIOTS,77.5187,12.9363
ATHMAJYOTHI NAGAR,2018,5,,MISSING PERSON,77.5287,12.9407
ATHMAJYOTHI NAGAR,2018,9,,THEFT,12.9402,77.5248
ATHMAJYOTHI NAGAR,2019,10,,KIDNAPPING AND ABDUCTION,12.9564,77.5415
ATHMAJYOTHI NAGAR,2023,5,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.957,77.5397
ATHMAJYOTHI NAGAR,2018,4,,THEFT,12.9434,77.5263
ATTIVATTA,2020,12,,MOTOR VEHICLE ACCIDENTS FATAL,13.0966,77.8598
ATTUR LAYOUT,2023,10,,ARMS ACT  1959,13.0998,77.5771
AUSTIN TOWN CEMENT LANE,2020,12,,MISSING PERSON,12.964,77.6115
AVVERAHALLI,2020,11,,CASES OF HURT,13.0074,77.4425
AXA BUILDING,2021,1,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.918,77.629
AXA BUILDING,2021,3,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9254,77.6185
Adde,2020,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1734,77.5646
Adde,2023,8,,CASES OF HURT,13.2254,77.5509
Adganahalli,2022,8,,KARNATAKA POLICE ACT 1963,13.1729,77.5643
Adharsha Nagar,2021,6,,THEFT,12.9561,77.5593
Agara,2019,6,,THEFT,13.0524,77.637
Akkipet Main Road,2023,9,,THEFT,12.9672,77.5726
Allalasandra,2024,1,,THEFT,13.0954,77.594
Amarajyothinagar,2022,12,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9774,77.5186
Anadanagara,2023,11,,MISSING PERSON,13.0319,77.6017
Andra line,2023,10,,MISSING PERSON,12.9796,77.6276
Andra line,2019,6,,THEFT,12.9811,77.6257
Andrahalli,2024,2,,CRIMINAL TRESPASS,13.003,77.4872
Anjananagar,2023,11,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9858,77.4908
Anjanappa Garden,2023,4,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9647,77.5623
Anugondanahalli,2023,6,,THEFT,12.9685,77.8328
Anugondanahalli,2020,1,,MISSING PERSON,12.9598,77.8239
Arishinakunte,2021,3,,THEFT,13.0996,77.3918
Ashirvad Colony,2023,11,,THEFT,13.0392,77.6438
Ashoknagar,2018,4,,PASSPORT ACT,77.6148,12.9565
Ashoknagar,2017,2,,CHEATING,77.3631,12.582
Ashoknagar,2016,5,,CrPC,77.6007,12.9675
Ashoknagar,2018,1,,MOLESTATION,77.6102,12.9717
Ashoknagar,2020,4,,THEFT,12.9663,77.614
Ashoknagar,2020,1,,CHEATING,12.9581,77.5944
Ashoknagar,2017,2,,MOLESTATION,77.6157,12.9585
Attibele,2022,8,,MISSING PERSON,12.8004,77.7827
Attibele,2022,2,,MOTOR VEHICLE ACCIDENTS FATAL,12.7895,77.7403
Attibele,2022,5,,Karnataka State Local Act,12.7469,77.7916
Attibele,2020,10,,THEFT,12.7796,77.7751
Attibele,2019,11,,BURGLARY - DAY,12.7804,77.7757
Attibele,2019,6,,SUICIDE,12.77,77.7764
Attibele,2019,12,,THEFT,12.7778,77.7743
Attibele,2019,5,,BURGLARY - NIGHT,12.7819,77.7746
Attibele,2020,1,,THEFT,12.7473,77.7734
Attibele,2020,1,,THEFT,12.7892,77.7521
Attibele,2023,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7512,77.727
Attibele,2019,5,,BURGLARY - DAY,12.783,77.7749
Attigupe,2021,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9592,77.5167
Austin Town,2017,11,,CRIMES RELATED TO WOMEN,12.9567,77.6162
Austin Town,2024,2,,KIDNAPPING AND ABDUCTION,12.9309,77.5162
Avalahalli,2023,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1365,77.5678
B B ROAD,2017,3,,PUBLIC SAFETY,13.026,77.5852
B B ROAD,2017,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0202,77.5839
B Narayanapura,2024,2,,CYBER CRIME,12.9968,77.693
B Narayanapura,2024,1,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9968,77.693
BADAKANAPALYA,2024,2,,MURDER,13.1177,77.4356
BAGALAGUNTE,2023,12,,POCSO,13.1212,77.1456
BAGALUR VILLAGE,2022,5,,CRIMES RELATED TO WOMEN,13.1465,77.6587
BAHUBALINAGARA,2019,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0423,77.5421
BAHUBALINAGARA,2023,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0411,77.5456
BAHUBALINAGARA,2021,7,,KARNATAKA POLICE ACT 1963,13.0467,77.5495
BALAGARANAHALLI,2022,5,,THEFT,12.7943,77.73
BALAGARANAHALLI,2022,6,,MOTOR VEHICLE ACCIDENTS FATAL,12.7444,77.7249
BALAGARANAHALLI,2021,6,,CASES OF HURT,12.796,77.7283
BALAGARANAHALLI,2024,3,,KIDNAPPING AND ABDUCTION,12.7779,77.7465
BALAJI NARSING HOME,2017,8,,CrPC,13.0434,77.552
BALAJI NARSING HOME,2017,8,,MISSING PERSON,13.043,77.5531
BALEPET CIRCLE TO R.T STREET PUTTPATH,2018,10,,CHEATING,12.9703,77.5746
BALEPET CIRCLE TO R.T STREET PUTTPATH,2022,6,,THEFT,12.972,77.5768
BAMBOO BAZAAR,2016,7,,KIDNAPPING AND ABDUCTION,12.9628,77.5781
BAMBOO BAZAAR,2023,12,,KARNATAKA POLICE ACT 1963,12.959,77.5817
BANAGIRI NAGAR,2017,9,,THEFT,12.9222,77.5593
BANDIKODIGEHALLI VILLAGE,2023,11,,MISSING PERSON,13.1479,77.6898
BANKCOLONY,2023,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9317,77.5446
BAPOOJI LAYOUT,2016,11,,CRIMINAL TRESPASS,12.9646,77.5322
BASAVALINGAPPA LAYOUT,2024,1,,KIDNAPPING AND ABDUCTION,13.0733,77.6328
BASAVALINGAPPA LAYOUT,2024,1,,THEFT,13.0681,77.6269
BASAVALINGAPPA LAYOUT,2024,2,,THEFT,13.0754,77.6334
BASAVANAPURA,2023,11,,THEFT,12.3217,77.1322
BASAVESHWARNAGARA EIGTH B MAIN TO MANJUNATHNAGAR NINTEENTH MAIN,2023,9,,CHEATING,12.9914,77.5404
BASHETTYHALLI,2020,11,,MOTOR VEHICLE ACCIDENTS FATAL,13.2712,77.5336
BASHETTYHALLI,2022,4,,CHEATING,13.2267,77.5305
BASHETTYHALLI,2021,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2587,77.5527
BAVIKERE,2022,10,,THEFT,13.0929,77.3651
BAZAR STREET,2018,4,,CrPC,12.9412,77.6077
BAZAR STREET,2016,5,,CASES OF HURT,12.9415,77.6078
BAZAR STREET,2022,10,,MISSING PERSON,12.9426,77.6068
BB JUNCTION,2022,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9639,77.5695
BBMP OFFICE,2021,2,,MOTOR VEHICLE ACCIDENTS FATAL,13.0095,77.6968
BDA,2020,8,,MISSING PERSON,12.9288,77.5662
BDA COMPLEX,2023,10,,PUBLIC SAFETY,12.9261,77.561
BEGGER COLONY,2023,8,,THEFT,12.9968,77.5235
BELTHUR,2020,1,,CYBER CRIME,12.9954,77.7577
BEML LAYOUT,2018,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,0.129892,0.775354
BEML LAYOUT,2016,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,0.129977,0.775337
BEML LAYOUT,2019,7,,MOTOR VEHICLE ACCIDENTS FATAL,0.129963,0.775251
BEML LAYOUT,2017,12,,MOTOR VEHICLE ACCIDENTS NON-FATAL,0.129897,0.775379
BEML LAYOUT,2021,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,0.129967,0.775282
BEML Layout,2019,12,,CASES OF HURT,12.9967,77.5287
BENSON TOWN,2021,11,,CHEATING,12.997,77.604
BERETENA AGRAHARA,2022,4,,THEFT,12.8783,77.6645
BESTAMANAHALLI,2023,7,,KARNATAKA POLICE ACT 1963,12.7148,77.7542
BHATTARAMARENAHALLI,2020,1,,MISSING PERSON,13.1704,77.7397
BHATTARAMARENAHALLI,2020,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2479,77.7932
BHCS LAYOUT,2024,1,,MISSING PERSON,12.9091,77.5511
BHEEMAKKANAHALLI,2022,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1302,77.8818
BHOVI COLONY,2016,10,,THEFT,12.9938,77.548
BHOVI COLONY,2016,12,,FORGERY,12.9942,77.5443
BHOVIPALYA,2020,6,,CASES OF HURT,13.1521,77.6124
BHOVIPALYA,2024,3,,ROBBERY,13.1524,77.6165
BHUVANESWARI NAGAR,2018,4,,ROBBERY,12.9254,77.5497
BIDALUR,2023,8,,CHILDREN ACT,13.279,77.6228
BILEKAHALLI,2022,6,,KIDNAPPING AND ABDUCTION,12.9455,77.5681
BILEKAHALLI,2020,1,,MISCHIEF,12.8953,77.6091
BILEKAHALLI,2016,11,,DACOITY,12.8963,77.6094
BILEKAHALLI,2016,7,,CASES OF HURT,12.9,77.6035
BILEKAHALLI,2016,4,,CASES OF HURT,12.8959,77.6066
BILLAPURA,2024,2,,RIOTS,12.8304,77.8017
BILLAPURA,2021,7,,BURGLARY - NIGHT,12.8227,77.7852
BILVARADAHALLI,2022,1,,CASES OF HURT,12.8133,77.5835
BILVARADAHALLI,2023,11,,MISSING PERSON,12.8545,77.5452
BILVARADAHALLI,2021,7,,POCSO,12.7926,77.5667
BILVARADAHALLI,2020,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8135,77.5796
BILVARADAHALLI,2021,4,,RIOTS,12.8148,77.5768
BILVARADAHALLI,2022,8,,CASES OF HURT,12.8161,77.5521
BINNILAYOUT,2017,7,,THEFT,12.9604,77.5314
BINNILAYOUT,2016,4,,CASES OF HURT,12.9588,77.527
BINNILAYOUT,2018,6,,MOLESTATION,12.9601,77.5311
BINNY LAYOUT,2016,6,,CYBER CRIME,12.9736,77.5423
BINNY LAYOUT,2016,12,,THEFT,12.9681,77.5435
BINNY LAYOUT,2022,6,,THEFT,12.969,77.5433
BIRESHWARANAGAR,2020,9,,ROBBERY,12.888,77.5709
BMTC BUS STAND,2021,12,,THEFT,12.9816,77.6055
BMTC BUS STAND,2019,7,,MISSING PERSON,12.9826,77.6021
BP Wadia Road,2020,2,,THEFT,12.8764,77.8741
BRANDAVAN LAYOUT,2016,9,,THEFT,77.5513,12.8949
BRANDAVAN LAYOUT,2018,3,,CrPC,77.5684,12.8838
BRANDAVAN LAYOUT,2017,5,,CASES OF HURT,77.5569,12.9117
BRANDAVAN LAYOUT,2022,3,,ROBBERY,12.9049,77.538
BRANDAVAN LAYOUT,2017,9,,Karnataka State Local Act,77.5588,12.9139
BRANDAVAN LAYOUT,2018,3,,THEFT,77.5427,12.9059
BSK RING ROAD,2019,2,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9232,77.5529
BSK RING ROAD,2024,3,,PUBLIC SAFETY,12.9305,77.5474
BTM SECOND STAGE,2016,9,,BURGLARY - NIGHT,12.915,77.61
BTM SECOND STAGE,2023,4,,CHEATING,12.0909,77.6017
BTM SECOND STAGE,2023,11,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9146,77.6003
BTM SECOND STAGE,2017,1,,THEFT,12.9081,77.605
BTM SECOND STAGE,2023,11,,CYBER CRIME,12.9099,77.6069
BTM SECOND STAGE,2021,4,,THEFT,12.9178,77.6134
BTM SECOND STAGE,2022,2,,THEFT,12.915,77.6015
BTM SECOND STAGE,2016,6,,THEFT,12.9061,77.6068
