Area,Year,Month,Time,Crime Type,Latitude,Longitude,Cluster
A K colony,2019.0,3.0,,CHEATING,13.0068,77.6124,-1
A K colony,2017.0,7.0,,KIDNAPPING AND ABDUCTION,13.0087,77.6119,-1
A K colony,2017.0,7.0,,THEFT,13.004,77.6121,-1
A K colony,2018.0,8.0,,THEFT,13.0068,77.6125,-1
A NARAYANAPURA,2018.0,2.0,,NEGLIGENT ACT,12.9726,77.7179,-1
A' COOKS ROAD,2017.0,2.0,,MISSING PERSON,12.9897,77.6108,-1
A.V ROAD TO DODDAPET CIRCLE,2021.0,7.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9651,77.5767,-1
A.V ROAD TO DODDAPET CIRCLE,2017.0,9.0,,THEFT,12.9659,77.5779,-1
A.V ROAD TO DODDAPET CIRCLE,2017.0,10.0,,THEFT,12.9659,77.5778,-1
A.V ROAD TO DODDAPET CIRCLE,2018.0,12.0,,KARNATAKA POLICE ACT 1963,12.9647,77.5779,-1
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2023.0,10.0,,THEFT,13.0708,77.5297,-1
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2022.0,4.0,,ATTEMPT TO MURDER,13.0738,77.5191,-1
ADARSHA LAYOUT,2019.0,2.0,,THEFT,12.9942,77.5393,-1
ADARSHANAGARA,2019.0,5.0,,THEFT,13.075,77.4197,-1
ADUGODI POLICE QUTRESS,2023.0,12.0,,MOLESTATION,12.9409,77.6092,0
ADUGODI POLICE QUTRESS,2016.0,5.0,,THEFT,12.9362,77.6087,0
ADUGODI POLICE QUTRESS,2018.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9369,77.6039,0
ADUGODI POLICE QUTRESS,2017.0,5.0,,CHEATING,12.9346,77.6115,0
ADUGODI POLICE QUTRESS,2023.0,8.0,,CYBER CRIME,12.9377,77.6101,0
AECS LAYOUT B BLOCK,2022.0,2.0,,MISSING PERSON,12.875,77.6264,-1
AGAR,2023.0,6.0,,PUBLIC SAFETY,12.9232,77.6464,0
AGAR,2023.0,7.0,,PUBLIC SAFETY,12.9164,77.6284,0
AGAR,2023.0,10.0,,PUBLIC SAFETY,12.9244,77.6499,0
AGAR,2020.0,3.0,,MOTOR VEHICLE ACCIDENTS FATAL,12.9212,77.6662,0
