Area,Year,Month,Time,Crime Type,Latitude,Longitude
A K colony,2019,3,,CHEATING,13.0068,77.6124
A K colony,2017,7,,KIDNAPPING AND ABDUCTION,13.0087,77.6119
A K colony,2017,7,,THEFT,13.004,77.6121
A K colony,2018,8,,THEFT,13.0068,77.6125
A NARAYANAPURA,2018,2,,NEGLIGENT ACT,12.9726,77.7179
A' COOKS ROAD,2017,2,,MISSING PERSON,12.9897,77.6108
A.V ROAD TO DODDAPET CIRCLE,2021,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9651,77.5767
A.V ROAD TO DODDAPET CIRCLE,2017,9,,THEFT,12.9659,77.5779
A.V ROAD TO DODDAPET CIRCLE,2017,10,,THEFT,12.9659,77.5778
A.V ROAD TO DODDAPET CIRCLE,2018,12,,KARNATAKA POLICE ACT 1963,12.9647,77.5779
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2023,10,,THEFT,13.0708,77.5297
ABBIGERE LAKSMIPURA VIJAYALAKSHMI LAYOUT PASHCIM COUNTY VISHWESHWARAIAH ENCLAVE THAMMAYYA LAYOUT,2022,4,,ATTEMPT TO MURDER,13.0738,77.5191
ADARSHA LAYOUT,2019,2,,THEFT,12.9942,77.5393
ADARSHANAGARA,2019,5,,THEFT,13.075,77.4197
ADUGODI POLICE QUTRESS,2023,12,,MOLESTATION,12.9409,77.6092
ADUGODI POLICE QUTRESS,2016,5,,THEFT,12.9362,77.6087
ADUGODI POLICE QUTRESS,2018,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9369,77.6039
ADUGODI POLICE QUTRESS,2017,5,,CHEATING,12.9346,77.6115
ADUGODI POLICE QUTRESS,2023,8,,CYBER CRIME,12.9377,77.6101
AECS LAYOUT B BLOCK,2022,2,,MISSING PERSON,12.875,77.6264
AGAR,2023,6,,PUBLIC SAFETY,12.9232,77.6464
AGAR,2023,7,,PUBLIC SAFETY,12.9164,77.6284
AGAR,2023,10,,PUBLIC SAFETY,12.9244,77.6499
AGAR,2020,3,,MOTOR VEHICLE ACCIDENTS FATAL,12.9212,77.6662
AGAR,2021,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9072,77.6956
AGAR,2020,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8929,77.6947
AGRAHARA VILLAGE,2020,6,,THEFT,13.0885,77.6339
AGRAHARA VILLAGE,2020,1,,KIDNAPPING AND ABDUCTION,13.1007,77.6297
AGRAHARA VILLAGE,2022,6,,THEFT,13.1007,77.619
AGRAHARA VILLAGE,2022,1,,KARNATAKA POLICE ACT 1963,13.0623,77.6263
AGRAHARA VILLAGE,2022,5,,CRIMES RELATED TO WOMEN,13.1019,77.6279
AGRAHARA VILLAGE,2020,8,,THEFT,13.0908,77.6189
AGRAHARA VILLAGE,2019,2,,CHEATING,13.0775,77.6319
AIR FORCE EAST ROAD,2021,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0553,77.5428
AIR FORCE EAST ROAD,2021,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0549,77.5343
AIR FORCE EAST ROAD,2020,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0783,77.5206
AKSHAYANAGARA,2020,9,,THEFT,13.0104,77.7028
AKSHYA NAGAR,2024,2,,CYBER CRIME,13.0041,77.6507
AMBALI PURA,2023,5,,ANIMAL,12.9215,77.6621
AMBALI PURA,2023,7,,THEFT,12.9204,77.6657
AMBALI PURA,2020,10,,MISSING PERSON,12.9304,77.6784
AMBALI PURA,2023,12,,CYBER CRIME,12.9274,77.6723
AMBALI PURA,2023,12,,MISSING PERSON,12.922,77.6623
AMBALI PURA,2024,1,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9296,77.7029
AMBALI PURA,2024,2,,CYBER CRIME,12.9088,77.6632
AMBEDKAR NAGARA,2017,5,,THEFT,12.9969,77.6738
AMBEDKAR NAGARA GUTTE,2022,11,,CRIMINAL TRESPASS,12.9714,77.7501
AMBEDKAR NAGARA GUTTE,2024,1,,THEFT,12.9595,77.7705
AMBEDKAR NAGARA GUTTE,2022,7,,CRIMES RELATED TO WOMEN,12.9712,77.7679
AMBEDKAR NAGARA GUTTE,2022,12,,THEFT,12.97,77.76
AMBEDKAR NAGARA GUTTE,2024,1,,THEFT,12.9777,77.7674
AMBEDKAR NAGARA GUTTE,2023,11,,CHEATING,12.9665,77.7474
AMRUTHA COLLAGE ROAD,2023,3,,PUBLIC SAFETY,12.9223,77.6592
AMRUTHA COLLAGE ROAD,2024,1,,NEGLIGENT ACT,12.9183,77.6703
AMRUTHAHALLI,2023,10,,CYBER CRIME,13.0742,77.5587
AMS LAYOUT,2018,3,,MISSING PERSON,13.0815,77.5551
AMS LAYOUT,2023,11,,THEFT,13.0783,77.5565
AMS LAYOUT,2017,2,,CYBER CRIME,13.0811,77.5591
ANATHAPURA GATE,2022,7,,KARNATAKA POLICE ACT 1963,13.131,77.5738
ANATHAPURA GATE,2023,11,,CASES OF HURT,13.1357,77.5622
ANCHE PET,2017,7,,MURDER,12.9688,77.5791
ANCHE PET,2022,3,,COPY RIGHT ACT 1957,12.9718,77.5769
ANDREE ROAD,2022,6,,THEFT,12.9622,77.5957
ANEPALYA FIRST CROSS TO EIGHT CROSS,2022,5,,RAPE,12.9504,77.609
ANEPALYA NINE CROSS TO SEVENTEEN CROSS,2023,11,,CYBER CRIME,12.9519,77.6083
ANJANDRI LAYOUT,2023,7,,THEFT,13.0424,77.6137
ANJANDRI LAYOUT,2023,4,,MOLESTATION,13.0576,77.6262
ANJANDRI LAYOUT,2023,10,,MISCHIEF,13.0754,77.6334
ANJANDRI LAYOUT,2022,5,,THEFT,13.0544,77.624
ANJANDRI LAYOUT,2023,12,,THEFT,13.0754,77.6334
ANJANDRI LAYOUT,2023,10,,THEFT,13.0416,77.6226
ANJANEYA BLOCK,2024,1,,MISSING PERSON,12.9932,77.5748
ANJENEYA SLUM,2022,3,,MOLESTATION,12.9546,77.5905
ANJENEYA SLUM,2021,2,,BURGLARY - NIGHT,12.9566,77.5874
ANJENEYA SLUM,2021,9,,THEFT,12.9489,77.5985
ANNAPOORNESHWARI NAGAR,2017,7,,THEFT,12.9792,77.5068
ANNAPOORNESHWARI NAGAR,2017,7,,THEFT,12.9789,77.5078
ANNAPOORNESHWARI NAGAR,2018,11,,ROBBERY,12.9789,77.5078
ANNAPOORNESHWARI NAGAR,2023,10,,CASES OF HURT,12.9804,77.5071
ANNAPORNA HOTEL JUNCTION,2019,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9542,77.5799
ANNAPORNA HOTEL JUNCTION,2021,1,,PUBLIC SAFETY,12.9594,77.5801
ANNAPORNA HOTEL JUNCTION,2022,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9634,77.5819
ANNAPURNESHWARI NAGARA,2023,9,,CYBER CRIME,12.9489,77.4958
ANNASANDRA PALYA,2023,12,,BURGLARY - DAY,12.9659,77.6689
ANNASANDRA PALYA,2023,10,,KARNATAKA POLICE ACT 1963,12.9641,77.6813
ANNASANDRA PALYA,2023,8,,CYBER CRIME,12.9649,77.6738
ANNASANDRA PALYA,2023,11,,MISSING PERSON,12.9649,77.6671
ANNASANDRA PALYA,2024,3,,CASES OF HURT,12.9551,77.6828
ANNASANDRA PALYA,2023,10,,BURGLARY - DAY,12.9714,77.6576
ARISHINAKUNTE,2022,9,,MOTOR VEHICLE ACCIDENTS FATAL,13.0807,77.4221
ARISHINAKUNTE,2022,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0801,77.4243
ARISHINAKUNTE,2023,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0791,77.4268
ARISHINAKUNTE,2022,7,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0802,77.4233
ARISHINAKUNTE,2022,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0859,77.4118
ARISHINAKUNTE,2021,10,,MOTOR VEHICLE ACCIDENTS FATAL,13.0832,77.4174
ASHOKA NAGARA,2018,10,,THEFT,12.9392,77.5612
ASHOKNAGAR JUNCTION,2016,3,,PUBLIC SAFETY,12.9708,77.6046
ASHRAMA COLONY,2017,10,,CRIMINAL TRESPASS,13.0316,77.5704
ASHRAMA COLONY,2018,12,,CHILDREN ACT,13.0315,77.5762
ASHRAMA COLONY,2022,6,,MISCHIEF,13.0264,77.5748
ASHRAMA COLONY,2020,10,,KARNATAKA POLICE ACT 1963,13.028,77.5752
ASHRAMA COLONY,2023,1,,RAPE,13.0328,77.5699
ASHRAMA COLONY,2022,9,,CASES OF HURT,13.0443,77.5704
ASHRAMA COLONY,2022,6,,CHILDREN ACT,13.034,77.5688
ASHRAMA COLONY,2022,1,,ROBBERY,13.0414,77.567
ASHRAMA COLONY,2022,10,,BURGLARY - NIGHT,13.0277,77.5794
ATHMAJYOTHI NAGAR,2020,12,,ATTEMPT TO MURDER,12.9569,77.5386
ATHMAJYOTHI NAGAR,2022,12,,THEFT,12.9552,77.5405
ATHMAJYOTHI NAGAR,2018,9,,Karnataka State Local Act,12.9437,77.5258
ATHMAJYOTHI NAGAR,2018,10,,THEFT,12.9378,77.5292
ATHMAJYOTHI NAGAR,2017,5,,ROBBERY,12.9398,77.5239
ATHMAJYOTHI NAGAR,2018,10,,CASES OF HURT,12.938,77.5295
ATHMAJYOTHI NAGAR,2017,5,,THEFT,12.9469,77.53
ATHMAJYOTHI NAGAR,2018,11,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9414,77.5242
ATHMAJYOTHI NAGAR,2018,4,,CASES OF HURT,12.9419,77.524
ATTUR LAYOUT,2023,8,,CHEATING,13.1,77.56
ATTUR LAYOUT,2024,2,,CYBER CRIME,13.104,77.5643
AUSTIN TOWN CEMENT LANE,2023,8,,Karnataka State Local Act,12.961,77.6148
AUSTIN TOWN CEMENT LANE,2022,1,,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,12.9549,77.6137
AVENUE ROAD,2016,12,,CrPC,12.9669,77.5782
AVVERAHALLI,2021,1,,Karnataka State Local Act,13.1065,77.4454
AVVERAHALLI,2024,1,,CRIMES RELATED TO WOMEN,13.0059,77.4295
AXA BUILDING,2021,7,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.921,77.6332
AXA BUILDING,2021,2,,KIDNAPPING AND ABDUCTION,12.9227,77.6173
AXA BUILDING,2021,8,,THEFT,12.9169,77.6298
AYAVADAN RAO ROAD,2019,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9487,77.5637
Adde,2019,3,,KIDNAPPING AND ABDUCTION,13.1713,77.557
Adde,2023,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2165,77.5527
Adde,2021,4,,MOLESTATION,13.1718,77.5684
Adde,2019,9,,POCSO,13.1729,77.5648
Addiganahalli,2022,7,,MISSING PERSON,13.1714,77.571
Adganahalli,2021,8,,THEFT,13.1713,77.5584
Adganahalli,2023,10,,BURGLARY - NIGHT,13.1734,77.5636
Adharsha Nagar,2020,7,,COPY RIGHT ACT 1957,12.9596,77.5652
Adharsha Nagar,2023,11,,KARNATAKA POLICE ACT 1963,12.9605,77.567
Agara,2023,2,,CHEATING,13.0167,77.6134
Agara,2023,10,,CRUELTY BY HUSBAND,13.0475,77.6289
Agraharadasarahally fourth main,2024,1,,MISSING PERSON,12.9856,77.5337
Akkipet Main Road,2024,1,,CYBER CRIME,12.9645,77.5645
Allalasandra,2023,10,,POCSO,13.0968,77.5941
Amaco layout,2024,2,,THEFT,13.0586,77.5829
Amarajyothinagar,2022,12,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9774,77.5186
Anadanagara,2021,8,,THEFT,13.029,77.5891
Anadanagara,2021,1,,BURGLARY - NIGHT,13.0341,77.5963
Andra line,2017,5,,THEFT,12.9799,77.6245
Andra line,2017,6,,THEFT,12.9812,77.6303
Andra line,2019,5,,MISSING PERSON,12.9804,77.6229
Andrahalli,2023,11,,THEFT,13.0086,77.4887
Andrahalli,2023,10,,CYBER CRIME,12.9871,77.4917
Anjananagar,2024,2,,THEFT,12.9861,77.4884
Anjananagar,2024,1,,BURGLARY - DAY,12.9868,77.4914
Anjanappa Garden,2022,12,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.964,77.5678
Anjanappa Garden,2023,10,,CASES OF HURT,12.9632,77.5691
Annapurneshwarinagar,2022,3,,THEFT,12.9753,77.5209
Ashirvad Colony,2019,6,,CASES OF HURT,13.0387,77.6463
Ashoknagar,2021,1,,CHEATING,12.9558,77.6117
Ashoknagar,2022,4,,MISSING PERSON,12.9665,77.6099
Ashoknagar,2020,3,,COPY RIGHT ACT 1957,12.9674,77.6072
Attibele,2020,10,,THEFT,12.7761,77.7617
Attibele,2023,11,,THEFT,12.7746,77.7683
Attibele,2020,1,,THEFT,12.7892,77.7521
Attibele,2021,7,,THEFT,12.7567,77.774
Attibele,2022,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7795,77.7705
Attibele,2022,11,,BURGLARY - NIGHT,12.7556,77.7295
Attibele,2022,9,,THEFT,12.7783,77.7681
Attibele,2021,11,,THEFT,12.7795,77.775
Attibele,2022,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7804,77.7654
Attibele,2022,6,,MISSING PERSON,12.7776,77.7708
Attibele,2019,9,,MISSING PERSON,12.7791,77.775
Attibele,2019,6,,CASES OF HURT,12.7504,77.7478
Attibele,2019,1,,THEFT,12.7826,77.7747
Attibele,2022,6,,FORGERY,12.7775,77.7707
Attibele,2021,8,,THEFT,12.7787,77.7724
Attigupe,2023,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9619,77.5296
Attigupe,2023,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9591,77.5164
Attigupe,2021,4,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9581,77.5187
Austin Town,2018,5,,THEFT,12.9618,77.6378
Austin Town,2022,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9575,77.6156
Austin Town,2022,11,,MISSING PERSON,12.9569,77.6157
Austin Town,2024,2,,THEFT,12.9568,77.6169
Austin Town,2023,4,,Failure to appear to Court,12.9576,77.6149
Avalahalli,2023,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1365,77.5678
Avenue Road,2023,8,,PUBLIC SAFETY,12.9645,77.572
B B ROAD,2024,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9988,77.5843
B B ROAD,2017,7,,PUBLIC SAFETY,13.0169,77.5839
B B ROAD,2017,4,,PUBLIC SAFETY,13.0202,77.5839
B D A UPRAMP,2017,11,,PUBLIC SAFETY,12.9984,77.5844
B Narayanapura,2024,2,,CYBER CRIME,12.9968,77.693
B Narayanapura,2017,7,,THEFT,12.9973,77.691
B Narayanapura,2017,6,,DEATHS DUE TO RASHNESS/NEGLIGENCE,12.9964,77.6941
B Narayanapura,2023,10,,THEFT,12.9967,77.6929
B.D.A Layout,2023,10,,MISSING PERSON,12.903,77.5673
B.M.T.C. BUS STAND,2019,9,,KARNATAKA POLICE ACT 1963,12.9643,77.5777
BADAKANAPALYA,2022,1,,BURGLARY - NIGHT,12.9991,77.4703
BADAKANAPALYA,2020,11,,THEFT,13.1047,77.4439
BAGALAGUNTE,2023,7,,DEATHS DUE TO RASHNESS/NEGLIGENCE,13.0492,77.5063
BAGALUR,2024,2,,CYBER CRIME,13.0589,77.583
BAGALUR VILLAGE,2023,11,,MISSING PERSON,13.1465,77.6587
BAGALUR VILLAGE,2023,10,,CYBER CRIME,13.1331,77.6672
BAGALUR VILLAGE,2018,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1416,77.6717
BAHUBALINAGARA,2018,9,,MISCHIEF,13.0466,77.5442
BAHUBALINAGARA,2023,9,,CHEATING,13.0449,77.5504
BAHUBALINAGARA,2018,4,,BURGLARY - NIGHT,13.0439,77.5485
BAHUBALINAGARA,2018,11,,MISSING PERSON,13.046,77.5439
BAHUBALINAGARA,2023,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0412,77.5454
BAHUBALINAGARA,2023,4,,THEFT,13.0466,77.5443
BALAGARANAHALLI,2023,3,,CRIMINAL TRESPASS,12.7952,77.7295
BALAGARANAHALLI,2023,11,,MISSING PERSON,12.787,77.7355
BALAGARANAHALLI,2022,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7923,77.7273
BALAGARANAHALLI,2020,8,,CRIMINAL TRESPASS,12.7668,77.7535
BALAGARANAHALLI,2022,1,,BURGLARY - NIGHT,12.7777,77.7743
BALAGARANAHALLI,2021,3,,CHEATING,12.778,77.7469
BALAGARANAHALLI,2022,5,,THEFT,12.7943,77.73
BALAJI NARSING HOME,2017,8,,CrPC,13.0515,77.5524
BALAJI NARSING HOME,2017,10,,MISSING PERSON,13.0415,77.5518
BALAJI NARSING HOME,2021,10,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0405,77.5442
BALEPET,2022,3,,MISSING PERSON,12.9745,77.573
BALEPET CIRCLE TO R.T STREET PUTTPATH,2024,1,,MISSING PERSON,12.9715,77.5774
BALEPET CIRCLE TO R.T STREET PUTTPATH,2018,7,,THEFT,12.9686,77.5748
BALEPET CIRCLE TO R.T STREET PUTTPATH,2018,7,,CASES OF HURT,12.97,77.5761
BALEPET CIRCLE TO R.T STREET PUTTPATH,2020,1,,CASES OF HURT,12.9714,77.573
BAMBOO BAZAAR,2018,10,,ROBBERY,12.9639,77.5772
BAMBOO BAZAAR,2018,1,,ATTEMPT TO MURDER,12.9628,77.5781
BAMBOO BAZAAR,2019,3,,RIOTS,12.963,77.5811
BANAGIRI NAGAR,2019,5,,THEFT,12.9257,77.5597
BANAGIRI NAGAR,2020,3,,ROBBERY,12.9221,77.56
BANDIKODIGEHALLI VILLAGE,2023,11,,THEFT,13.1791,77.7234
BANDIKODIGEHALLI VILLAGE,2019,3,,THEFT,13.1824,77.6805
