Area,year,Crime Type,Latitude,Longitude
Abell,2016,BURGLARY,39.32427,-76.60945
Abell,2016,LARCENY,39.32632,-76.60944
Abell,2014,COMMON ASSAULT,39.32361,-76.61115
Abell,2014,BURGLARY,39.32708,-76.61274
Abell,2012,LARCENY FROM AUTO,39.32714,-76.61098
Abell,2013,ASSAULT BY THREAT,39.32361,-76.61115
Abell,2013,AUTO THEFT,39.32608,-76.61108
Abell,2016,AUTO THEFT,39.32618,-76.61027
Abell,2017,AUTO THEFT,39.32566,-76.60944
Abell,2014,BURGLARY,39.32615,-76.61109
Abell,2017,COMMON ASSAULT,39.32361,-76.61115
Abell,2012,COMMON ASSAULT,39.32618,-76.60944
Abell,2015,ROBBERY - STREET,39.32687,-76.60945
Abell,2016,LARCENY,39.32361,-76.61115
Abell,2017,BURGLARY,39.32446,-76.60945
Abell,2014,LARCENY FROM AUTO,39.3249,-76.61078
Abell,2015,BURGLARY,39.3271,-76.61077
Abell,2016,ROBBERY - STREET,39.32632,-76.60944
Abell,2015,ROBBERY - COMMERCIAL,39.32819,-76.61194
Abell,2014,AUTO THEFT,39.32605,-76.61093
Abell,2014,LARCENY,39.32744,-76.61209
Abell,2014,LARCENY,39.32822,-76.61095
Abell,2014,LARCENY FROM AUTO,39.32501,-76.61108
Abell,2013,AUTO THEFT,39.32728,-76.6111
Abell,2014,ROBBERY - STREET,39.32347,-76.61088
Abell,2012,COMMON ASSAULT,39.32826,-76.61013
Abell,2017,COMMON ASSAULT,39.32361,-76.61115
Abell,2013,BURGLARY,39.32447,-76.60945
Abell,2017,AGG. ASSAULT,39.32687,-76.60945
Abell,2017,ROBBERY - CARJACKING,39.32728,-76.6111
Abell,2012,LARCENY,39.32469,-76.61271
Abell,2017,BURGLARY,39.32819,-76.61196
Abell,2015,BURGLARY,39.32806,-76.60946
Abell,2012,LARCENY,39.32598,-76.61283
Abell,2014,LARCENY,39.32464,-76.61246
Abell,2015,LARCENY,39.32531,-76.6133
Abell,2013,LARCENY,39.32687,-76.60945
Abell,2012,ROBBERY - STREET,39.32507,-76.61108
Abell,2013,COMMON ASSAULT,39.32487,-76.60945
Abell,2014,AUTO THEFT,39.32486,-76.61108
Abell,2017,ROBBERY - STREET,39.32707,-76.61289
Abell,2016,COMMON ASSAULT,39.32731,-76.60945
Abell,2013,LARCENY FROM AUTO,39.32728,-76.6111
Abell,2017,COMMON ASSAULT,39.32347,-76.60947
Abell,2014,LARCENY FROM AUTO,39.32807,-76.60946
Abell,2013,LARCENY,39.32504,-76.61108
Abell,2017,LARCENY,39.32361,-76.61115
Abell,2014,LARCENY FROM AUTO,39.32707,-76.61289
Abell,2015,COMMON ASSAULT,39.32361,-76.61115
Abell,2013,LARCENY,39.32807,-76.60946
Abell,2015,BURGLARY,39.32608,-76.61008
Abell,2014,AGG. ASSAULT,39.32822,-76.61095
Abell,2013,COMMON ASSAULT,39.32361,-76.61115
Abell,2016,BURGLARY,39.32534,-76.61195
Abell,2014,ROBBERY - COMMERCIAL,39.32517,-76.60945
Abell,2013,LARCENY,39.32714,-76.61342
Abell,2016,LARCENY,39.32687,-76.60945
Abell,2014,LARCENY FROM AUTO,39.32714,-76.61098
Abell,2012,BURGLARY,39.32504,-76.612
Abell,2013,ROBBERY - STREET,39.32605,-76.61093
Abell,2014,ROBBERY - STREET,39.32714,-76.61098
Abell,2012,LARCENY FROM AUTO,39.32601,-76.6106
Abell,2014,LARCENY FROM AUTO,39.3265,-76.61202
Abell,2017,ROBBERY - STREET,39.32361,-76.61115
Abell,2015,BURGLARY,39.32347,-76.60947
Abell,2012,ROBBERY - CARJACKING,39.32616,-76.61109
Abell,2013,LARCENY,39.32822,-76.61095
Abell,2013,LARCENY,39.32822,-76.61095
Abell,2016,ROBBERY - COMMERCIAL,39.32822,-76.61095
Abell,2017,BURGLARY,39.32814,-76.61302
Abell,2013,LARCENY,39.32822,-76.61095
Allendale,2014,LARCENY,39.29043,-76.67588
Allendale,2015,LARCENY FROM AUTO,39.2925,-76.68389
Allendale,2015,LARCENY,39.29127,-76.67537
Allendale,2015,BURGLARY,39.29051,-76.67651
Allendale,2017,AUTO THEFT,39.29241,-76.68307
Allendale,2013,BURGLARY,39.29274,-76.68151
Allendale,2013,BURGLARY,39.29241,-76.68302
Allendale,2012,BURGLARY,39.29192,-76.67948
Allendale,2016,ROBBERY - RESIDENCE,39.29138,-76.67373
Allendale,2012,COMMON ASSAULT,39.28779,-76.67566
Allendale,2016,AUTO THEFT,39.28923,-76.67737
Allendale,2013,ROBBERY - STREET,39.28941,-76.67464
Allendale,2017,COMMON ASSAULT,39.29113,-76.67263
Allendale,2016,AGG. ASSAULT,39.29264,-76.68158
Allendale,2015,LARCENY,39.28853,-76.67578
Allendale,2014,AUTO THEFT,39.29179,-76.68146
Allendale,2012,AUTO THEFT,39.29082,-76.67261
Allendale,2017,BURGLARY,39.29322,-76.68386
Allendale,2014,BURGLARY,39.29053,-76.67816
Allendale,2015,COMMON ASSAULT,39.29179,-76.68146
Allendale,2014,LARCENY,39.28899,-76.67411
Allendale,2013,ASSAULT BY THREAT,39.29314,-76.68934
Allendale,2016,BURGLARY,39.29071,-76.67259
Allendale,2016,AGG. ASSAULT,39.29001,-76.6753
Allendale,2014,LARCENY,39.29089,-76.67949
Allendale,2013,HOMICIDE,39.29169,-76.68107
Allendale,2015,SHOOTING,39.29273,-76.67597
Allendale,2017,COMMON ASSAULT,39.29024,-76.67737
Allendale,2014,AUTO THEFT,39.29129,-76.67372
Allendale,2013,LARCENY,39.29124,-76.67365
Allendale,2016,AGG. ASSAULT,39.28939,-76.67467
Allendale,2016,AGG. ASSAULT,39.29186,-76.67648
Allendale,2012,COMMON ASSAULT,39.29262,-76.67878
Allendale,2013,BURGLARY,39.28946,-76.67448
Allendale,2015,LARCENY,39.28993,-76.67538
Allendale,2016,BURGLARY,39.29114,-76.67533
Allendale,2016,COMMON ASSAULT,39.29314,-76.68934
Allendale,2014,AGG. ASSAULT,39.29074,-76.67363
Allendale,2012,AUTO THEFT,39.29041,-76.6759
Allendale,2013,COMMON ASSAULT,39.29314,-76.68934
Allendale,2013,BURGLARY,39.29194,-76.68247
Allendale,2014,LARCENY FROM AUTO,39.29089,-76.68041
Allendale,2017,LARCENY,39.28833,-76.67669
Allendale,2012,AUTO THEFT,39.29008,-76.67255
Allendale,2012,LARCENY FROM AUTO,39.29026,-76.67939
Allendale,2017,LARCENY,39.2844,-76.68187
Allendale,2012,BURGLARY,39.29098,-76.6795
Allendale,2016,COMMON ASSAULT,39.29381,-76.67856
Allendale,2013,COMMON ASSAULT,39.29314,-76.68934
Allendale,2015,BURGLARY,39.29177,-76.67743
Allendale,2013,SHOOTING,39.29273,-76.67597
Allendale,2013,AGG. ASSAULT,39.29186,-76.67648
Allendale,2014,AUTO THEFT,39.28707,-76.67762
Allendale,2015,HOMICIDE,39.29285,-76.67551
Allendale,2016,BURGLARY,39.29089,-76.67949
Allendale,2012,LARCENY,39.29314,-76.68934
Allendale,2012,BURGLARY,39.29099,-76.67943
Allendale,2017,AGG. ASSAULT,39.29314,-76.68934
Allendale,2017,COMMON ASSAULT,39.29314,-76.68934
Allendale,2014,BURGLARY,39.29182,-76.67611
Allendale,2014,BURGLARY,39.29093,-76.68048
Allendale,2017,ARSON,39.29199,-76.67547
Allendale,2013,BURGLARY,39.29096,-76.67949
Allendale,2014,AUTO THEFT,39.29182,-76.68047
Allendale,2017,AGG. ASSAULT,39.29265,-76.67789
Allendale,2015,AUTO THEFT,39.29194,-76.68254
Allendale,2015,ROBBERY - STREET,39.29145,-76.67545
Allendale,2015,BURGLARY,39.28958,-76.67696
Allendale,2014,LARCENY,39.28508,-76.68118
Allendale,2016,LARCENY FROM AUTO,39.28512,-76.68123
Allendale,2013,COMMON ASSAULT,39.28524,-76.68113
Allendale,2016,ASSAULT BY THREAT,39.29387,-76.677
Allendale,2013,COMMON ASSAULT,39.29314,-76.68934
Allendale,2015,LARCENY,39.29314,-76.68934
Allendale,2017,ROBBERY - RESIDENCE,39.29053,-76.67585
Allendale,2013,LARCENY,39.28534,-76.68157
Allendale,2017,AGG. ASSAULT,39.28837,-76.67588
Allendale,2012,AUTO THEFT,39.28961,-76.67811
Allendale,2014,COMMON ASSAULT,39.29187,-76.68246
Allendale,2012,AUTO THEFT,39.29187,-76.67598
Allendale,2016,COMMON ASSAULT,39.28415,-76.68107
